Time [s],Channel 2,Channel 3
17.984783812,1,1
18.037550958,1,0
18.037551000,1,1
18.037551500,1,0
18.037551542,1,1
18.037552042,1,0
18.037552083,1,1
18.037552333,1,0
18.037552375,1,1
18.037552583,1,0
18.037552625,1,1
18.037552875,1,0
18.037552917,1,1
18.037553125,1,0
18.037553167,1,1
18.037553417,1,0
18.037553458,1,1
18.037553667,1,0
18.037553708,1,1
18.037553958,1,0
18.037554000,1,1
18.037554208,1,0
18.037554250,1,1
18.037554500,1,0
18.037554542,1,1
18.037554750,1,0
18.037554792,1,1
18.037555042,1,0
18.037555083,1,1
18.037555292,1,0
18.037555333,1,1
18.037555583,1,0
18.037555625,1,1
18.037555750,1,0
18.037555792,1,1
18.037555833,1,0
18.037555875,1,1
18.037556125,1,0
18.037556167,1,1
18.037556292,1,0
18.037556333,1,1
18.037556375,1,0
18.037556417,1,1
18.037556667,1,0
18.037556708,1,1
18.037556833,1,0
18.037556875,1,1
18.037556917,1,0
18.037556958,1,1
18.037557167,1,0
18.037557250,1,1
18.037557375,1,0
18.037557417,1,1
18.037557458,1,0
18.037557542,1,1
18.037557667,1,0
18.037557792,1,1
18.037557917,1,0
18.037557958,1,1
18.037558000,1,0
18.037558083,1,1
18.037558208,1,0
18.037558333,1,1
18.037558458,1,0
18.037558500,1,1
18.037558542,1,0
18.037558625,1,1
18.037558750,1,0
18.037558875,1,1
18.037559000,1,0
18.037559042,1,1
18.037559083,1,0
18.037559167,1,1
18.037559292,1,0
18.037559417,1,1
18.037559542,1,0
18.037559583,1,1
18.037559625,1,0
18.037559708,1,1
18.037559833,1,0
18.037560000,1,1
18.037560083,1,0
18.037560250,1,1
18.037560375,1,0
18.037560542,1,1
18.037560625,1,0
18.037560792,1,1
18.037560917,1,0
18.037561083,1,1
18.037561167,1,0
18.037561333,1,1
18.037561417,1,0
18.037561625,1,1
18.037561708,1,0
18.037561917,1,1
18.037561958,1,0
18.037562167,1,1
18.037562250,1,0
18.039922083,0,0
18.039922250,1,0
18.041912458,0,0
18.041912583,1,0
18.043898500,0,0
18.043898625,1,0
18.045888833,0,0
18.045889000,1,0
18.047874875,0,0
18.047875000,1,0
18.049863042,0,0
18.049863208,1,0
18.051851250,0,0
18.051851375,1,0
18.053839458,0,0
18.053839583,1,0
18.055845000,0,0
18.055845125,1,0
18.057831042,0,0
18.057831167,1,0
18.059819208,0,0
18.059819375,1,0
18.061809583,0,0
18.061809708,1,0
18.063793417,0,0
18.063793583,1,0
18.065785958,0,0
18.065786125,1,0
18.067772000,0,0
18.067772125,1,0
18.069760167,0,0
18.069760333,1,0
18.071750542,0,0
18.071750667,1,0
18.073736583,0,0
18.073736708,1,0
18.075724750,0,0
18.075724917,1,0
