Time [s],Channel 2,Channel 3
14.832773542,1,1
14.868303750,1,0
14.868303792,1,1
14.868304042,1,0
14.868304083,1,1
14.868304292,1,0
14.868304333,1,1
14.868304583,1,0
14.868304625,1,1
14.868304833,1,0
14.868304875,1,1
14.868305125,1,0
14.868305167,1,1
14.868305375,1,0
14.868305458,1,1
14.868305667,1,0
14.868305708,1,1
14.868305833,1,0
14.868305875,1,1
14.868305917,1,0
14.868306000,1,1
14.868306208,1,0
14.868306250,1,1
14.868306375,1,0
14.868306417,1,1
14.868306458,1,0
14.868306542,1,1
14.868306750,1,0
14.868306792,1,1
14.868306917,1,0
14.868306958,1,1
14.868307000,1,0
14.868307083,1,1
14.868307292,1,0
14.868307333,1,1
14.868307458,1,0
14.868307500,1,1
14.868307542,1,0
14.868307625,1,1
14.868307833,1,0
14.868307875,1,1
14.868308000,1,0
14.868308042,1,1
14.868308083,1,0
14.868308167,1,1
14.868308375,1,0
14.868308417,1,1
14.868308542,1,0
14.868308583,1,1
14.868308625,1,0
14.868308708,1,1
14.868308917,1,0
14.868308958,1,1
14.868309083,1,0
14.868309125,1,1
14.868309167,1,0
14.868309250,1,1
14.868309375,1,0
14.868309417,1,1
14.868309458,1,0
14.868309500,1,1
14.868309625,1,0
14.868309667,1,1
14.868309708,1,0
14.868309792,1,1
14.868309917,1,0
14.868309958,1,1
14.868310000,1,0
14.868310042,1,1
14.868310167,1,0
14.868310208,1,1
14.868310250,1,0
14.868310333,1,1
14.868310458,1,0
14.868310500,1,1
14.868310542,1,0
14.868310583,1,1
14.868310708,1,0
14.868310750,1,1
14.868310792,1,0
14.868310875,1,1
14.868311000,1,0
14.868311042,1,1
14.868311083,1,0
14.868311125,1,1
14.868311250,1,0
14.868311417,1,1
14.868311542,1,0
14.868311583,1,1
14.868311625,1,0
14.868311667,1,1
14.868311792,1,0
14.868311958,1,1
14.868312083,1,0
14.868312125,1,1
14.868312167,1,0
14.868312250,1,1
14.868312333,1,0
14.868312500,1,1
14.868312625,1,0
14.868312667,1,1
14.868312708,1,0
14.868312792,1,1
14.868312875,1,0
14.868313083,1,1
14.868313167,1,0
14.868313208,1,1
14.868313250,1,0
14.868313333,1,1
14.868313417,1,0
14.868313625,1,1
14.868313708,1,0
14.868313750,1,1
14.868313792,1,0
14.868313875,1,1
14.868313958,1,0
14.868314167,1,1
14.868314250,1,0
14.868314417,1,1
14.868314500,1,0
14.868314708,1,1
14.868314792,1,0
14.890604583,0,0
14.890604708,1,0
14.892594958,0,0
14.892595083,1,0
14.894580958,0,0
14.894581125,1,0
14.896569167,0,0
14.896569292,1,0
14.898557375,0,0
14.898557500,1,0
14.900545542,0,0
14.900545708,1,0
14.902535917,0,0
14.902536042,1,0
14.904521958,0,0
14.904522083,1,0
14.906525333,0,0
14.906525458,1,0
14.908513542,0,0
14.908513667,1,0
14.910503875,0,0
14.910504042,1,0
14.912489917,0,0
14.912490042,1,0
14.914478125,0,0
14.914478250,1,0
14.916468458,0,0
14.916468625,1,0
14.918454500,0,0
14.918454625,1,0
14.920442708,0,0
14.920442833,1,0
14.922433042,0,0
14.922433208,1,0
14.924416917,0,0
14.924417042,1,0
14.926409458,0,0
14.926409583,1,0
14.928395458,0,0
14.928395625,1,0
14.930383667,0,0
14.930383792,1,0
14.932374042,0,0
14.932374167,1,0
14.934360042,0,0
14.934360167,1,0
14.936348250,0,0
14.936348375,1,0
14.938338625,0,0
14.938338750,1,0
14.940322458,0,0
14.940322583,1,0
14.942310667,0,0
14.942310792,1,0
14.944301000,0,0
14.944301167,1,0
14.946289208,0,0
14.946289333,1,0
14.948279583,0,0
14.948279708,1,0
14.950265583,0,0
14.950265750,1,0
14.952253792,0,0
14.952253917,1,0
14.954244167,0,0
14.954244292,1,0
14.956230167,0,0
14.956230333,1,0
14.958216208,0,0
14.958216333,1,0
14.960206583,0,0
14.960206708,1,0
14.962194750,0,0
14.962194917,1,0
14.964185125,0,0
14.964185250,1,0
14.966171167,0,0
14.966171292,1,0
14.968159333,0,0
14.968159500,1,0
14.970149708,0,0
14.970149833,1,0
14.972135708,0,0
14.972135875,1,0
14.974123917,0,0
14.974124042,1,0
14.976114292,0,0
14.976114417,1,0
14.978098125,0,0
14.978098292,1,0
14.980090667,0,0
14.980090833,1,0
14.982076708,0,0
14.982076833,1,0
14.984064875,0,0
14.984065042,1,0
14.986055250,0,0
14.986055375,1,0
14.988041292,0,0
14.988041417,1,0
14.990029458,0,0
14.990029625,1,0
14.992019833,0,0
14.992019958,1,0
14.994003708,0,0
14.994003833,1,0
14.995991875,0,0
14.995992042,1,0
14.997982250,0,0
14.997982375,1,0
14.999970458,0,0
14.999970583,1,0
15.001960792,0,0
15.001960958,1,0
15.003946833,0,0
15.003946958,1,0
15.005935042,0,0
15.005935167,1,0
15.007925375,0,0
15.007925542,1,0
15.009911417,0,0
15.009911542,1,0
15.011897417,0,0
15.011897583,1,0
15.013887792,0,0
15.013887958,1,0
15.015876000,0,0
15.015876125,1,0
15.017866375,0,0
15.017866500,1,0
15.019852375,0,0
15.019852500,1,0
15.021840583,0,0
15.021840708,1,0
15.023830958,0,0
15.023831083,1,0
15.025816958,0,0
15.025817083,1,0
15.027805167,0,0
15.027805292,1,0
15.029795500,0,0
15.029795667,1,0
15.031779375,0,0
15.031779500,1,0
15.033771917,0,0
15.033772042,1,0
15.035757917,0,0
15.035758083,1,0
15.037746125,0,0
15.037746250,1,0
15.039736500,0,0
15.039736625,1,0
15.041722500,0,0
15.041722667,1,0
15.043710708,0,0
15.043710833,1,0
15.045701083,0,0
15.045701208,1,0
15.047684917,0,0
15.047685083,1,0
15.049673125,0,0
15.049673250,1,0
15.051663500,0,0
15.051663625,1,0
15.053651667,0,0
15.053651833,1,0
15.055642042,0,0
15.055642167,1,0
15.057628083,0,0
15.057628208,1,0
15.059616250,0,0
15.059616417,1,0
15.061606625,0,0
15.061606750,1,0
15.063592625,0,0
15.063592792,1,0
15.065578667,0,0
15.065578792,1,0
15.067569042,0,0
15.067569167,1,0
15.069557208,0,0
15.069557375,1,0
15.071547583,0,0
15.071547750,1,0
15.073533625,0,0
15.073533750,1,0
15.075521792,0,0
15.075521958,1,0
15.077512167,0,0
15.077512292,1,0
15.079498208,0,0
15.079498333,1,0
15.081486375,0,0
15.081486542,1,0
15.083476750,0,0
15.083476875,1,0
15.085460625,0,0
15.085460750,1,0
15.087453125,0,0
15.087453292,1,0
15.089439167,0,0
15.089439292,1,0
15.091427375,0,0
15.091427500,1,0
15.093417708,0,0
15.093417875,1,0
15.095403750,0,0
15.095403875,1,0
15.097391958,0,0
15.097392083,1,0
15.099382292,0,0
15.099382458,1,0
15.101366167,0,0
15.101366292,1,0
15.103354333,0,0
15.103354500,1,0
15.105344708,0,0
15.105344875,1,0
15.107332917,0,0
15.107333042,1,0
15.109323292,0,0
15.109323417,1,0
15.111309292,0,0
15.111309417,1,0
15.113297500,0,0
15.113297625,1,0
15.115287875,0,0
15.115288000,1,0
15.117273875,0,0
15.117274000,1,0
15.119259917,0,0
15.119260042,1,0
15.121250250,0,0
15.121250417,1,0
15.123238458,0,0
15.123238583,1,0
15.125228833,0,0
15.125228958,1,0
15.127214833,0,0
15.127215000,1,0
15.129203042,0,0
15.129203167,1,0
15.131193417,0,0
15.131193542,1,0
15.133179417,0,0
15.133179583,1,0
15.135167625,0,0
15.135167750,1,0
15.137158000,0,0
15.137158125,1,0
15.139141833,0,0
15.139142000,1,0
15.141134375,0,0
15.141134500,1,0
15.143120417,0,0
15.143120542,1,0
15.145108583,0,0
15.145108750,1,0
15.147098958,0,0
15.147099083,1,0
15.149085000,0,0
15.149085125,1,0
15.151073167,0,0
15.151073333,1,0
15.153063542,0,0
15.153063667,1,0
15.155047375,0,0
15.155047542,1,0
15.157035583,0,0
15.157035708,1,0
15.159025958,0,0
15.159026083,1,0
15.161014125,0,0
15.161014292,1,0
15.163004500,0,0
15.163004667,1,0
15.164990542,0,0
15.164990667,1,0
15.166978708,0,0
15.166978875,1,0
15.168969083,0,0
15.168969208,1,0
15.170955125,0,0
15.170955250,1,0
15.172941125,0,0
15.172941292,1,0
15.174931500,0,0
15.174931625,1,0
15.176919708,0,0
15.176919833,1,0
15.178910042,0,0
15.178910208,1,0
15.180896083,0,0
15.180896208,1,0
15.182884292,0,0
15.182884417,1,0
15.184874625,0,0
15.184874792,1,0
15.186191333,1,1
15.186191375,1,0
15.186306917,1,1
15.186306958,1,0
15.186515292,1,1
15.186515333,1,0
15.186860667,0,0
15.186860792,1,0
15.187196083,1,1
15.187196167,1,0
15.187196208,1,1
15.187196333,1,0
15.187196500,1,1
15.187196583,1,0
15.187196792,1,1
15.187196875,1,0
15.187197042,1,1
15.187197125,1,0
15.187197333,1,1
15.187197417,1,0
15.187197583,1,1
15.187197667,1,0
15.187197875,1,1
15.187197958,1,0
15.187198125,1,1
15.187198250,1,0
15.187198417,1,1
15.187198500,1,0
15.187198667,1,1
15.187198792,1,0
15.187198958,1,1
15.187199042,1,0
15.187199208,1,1
15.187199333,1,0
15.187199500,1,1
15.187199583,1,0
15.187199750,1,1
15.187199875,1,0
15.187200042,1,1
15.187200125,1,0
15.187200292,1,1
15.187200417,1,0
15.187200458,1,1
15.187200500,1,0
15.187200583,1,1
15.187200667,1,0
15.187200833,1,1
15.187200958,1,0
15.187201000,1,1
15.187201042,1,0
15.187201125,1,1
15.187201208,1,0
15.187201375,1,1
15.187201500,1,0
15.187201542,1,1
15.187201583,1,0
15.187201667,1,1
15.187201750,1,0
15.187201917,1,1
15.187202042,1,0
15.187202083,1,1
15.187202125,1,0
15.187202208,1,1
15.187202292,1,0
15.187202458,1,1
15.187202583,1,0
15.187202625,1,1
15.187202667,1,0
15.187202750,1,1
15.187202833,1,0
15.187203000,1,1
15.187203125,1,0
15.187203167,1,1
15.187203208,1,0
15.187203292,1,1
15.187203375,1,0
15.187203542,1,1
15.187203667,1,0
15.187203708,1,1
15.187203750,1,0
15.187203833,1,1
15.187203917,1,0
15.187204083,1,1
15.187204208,1,0
15.187204250,1,1
15.187204292,1,0
15.187204375,1,1
15.187204458,1,0
15.187204625,1,1
15.187204750,1,0
15.187204792,1,1
15.187204833,1,0
15.187204917,1,1
15.187205000,1,0
15.187205167,1,1
15.187205292,1,0
15.187205333,1,1
15.187205375,1,0
15.187205458,1,1
15.187205542,1,0
15.187205708,1,1
15.187205833,1,0
15.187205875,1,1
15.187205917,1,0
15.187206000,1,1
15.187206083,1,0
15.187206250,1,1
15.187206375,1,0
15.187206417,1,1
15.187206458,1,0
15.187206542,1,1
15.187206625,1,0
15.187206792,1,1
15.187206917,1,0
15.187206958,1,1
15.187207000,1,0
15.187207083,1,1
15.187207167,1,0
15.187207333,1,1
15.187207458,1,0
15.187207500,1,1
15.187207542,1,0
15.187207625,1,1
15.187207708,1,0
15.187207875,1,1
15.187208000,1,0
15.187208042,1,1
15.187208083,1,0
15.187208167,1,1
15.187208250,1,0
15.187208417,1,1
15.187208542,1,0
15.187208583,1,1
15.187208625,1,0
15.187208708,1,1
15.187208833,1,0
15.187208958,1,1
15.187209083,1,0
15.187209250,1,1
15.187209375,1,0
15.187209500,1,1
15.187209625,1,0
15.187209667,1,1
15.187209708,1,0
15.187209792,1,1
15.187209917,1,0
15.187210083,1,1
15.187210167,1,0
15.187210333,1,1
15.187210458,1,0
15.187210583,1,1
15.187210708,1,0
15.187210875,1,1
15.187211000,1,0
15.187211167,1,1
15.187211250,1,0
15.187211417,1,1
15.187211542,1,0
15.187211583,1,1
15.187211625,1,0
15.187211667,1,1
